code,category,value
E02000255,2,1212
E02000255,3,486
E02000255,4,138
E02000255,5,16
E02000256,1,2293
E02000256,2,1225
E02000256,3,390
E02000256,4,99
E02000256,5,19
E02000259,1,1244
E02000259,2,821
E02000259,3,269
E02000259,4,60
E02000259,5,1
E02000261,1,2324
E02000261,2,1728
E02000261,3,723
E02000261,4,181
E02000261,5,24
E02000262,1,1820
E02000262,2,1313
E02000262,3,599
E02000262,4,193
E02000262,5,21
E02000263,1,968
E02000263,2,1446
E02000263,3,934
E02000263,4,280
E02000263,5,18
E02000264,1,1877
E02000264,2,1167
E02000264,3,390
E02000264,4,92
E02000264,5,17
E02000266,1,1581
E02000266,2,1475
E02000266,3,891
E02000266,4,338
E02000266,5,10
E02000268,1,2134
E02000268,2,1154
E02000268,3,441
E02000268,4,126
E02000268,5,8
E02000270,1,2035
E02000270,2,1272
E02000270,3,591
E02000270,4,197
E02000270,5,19
E02000271,1,1997
E02000271,2,714
E02000271,3,211
E02000271,4,47
E02000271,5,9
E02000275,1,712
E02000275,2,895
E02000275,3,553
E02000275,4,173
E02000275,5,15
E02000276,1,1593
E02000276,2,782
E02000276,3,275
E02000276,4,71
E02000276,5,3
E02000277,1,975
E02000277,2,989
E02000277,3,510
E02000277,4,143
E02000277,5,10
E02000278,1,1101
E02000278,2,1237
E02000278,3,768
E02000278,4,211
E02000278,5,22
E02000279,1,1665
E02000279,2,1581
E02000279,3,841
E02000279,4,300
E02000279,5,29
E02000280,1,1596
E02000280,2,1163
E02000280,3,488
E02000280,4,147
E02000280,5,16
E02000281,1,1460
E02000281,2,1216
E02000281,3,643
E02000281,4,210
E02000281,5,20
E02000285,1,1380
E02000285,2,757
E02000285,3,268
E02000285,4,53
E02000285,5,4
E02000286,1,2099
E02000286,2,1317
E02000286,3,464
E02000286,4,108
E02000286,5,13
E02000287,1,1587
E02000287,2,889
E02000287,3,316
E02000287,4,64
E02000287,5,11
E02000288,1,1320
E02000288,2,1510
E02000288,3,891
E02000288,4,299
E02000288,5,33
E02000289,1,1381
E02000289,2,756
E02000289,3,251
E02000289,4,35
E02000289,5,3
E02000290,1,826
E02000290,2,944
E02000290,3,551
E02000290,4,182
E02000290,5,20
E02000291,1,1919
E02000291,2,1580
E02000291,3,641
E02000291,4,166
E02000291,5,19
E02000292,1,1731
E02000292,2,1196
E02000292,3,509
E02000292,4,126
E02000292,5,7
E02000294,1,1094
E02000294,2,1204
E02000294,3,607
E02000294,4,167
E02000294,5,12
E02000295,1,1757
E02000295,2,1103
E02000295,3,361
E02000295,4,121
E02000295,5,8
E02000296,1,1891
E02000296,2,1416
E02000296,3,604
E02000296,4,127
E02000296,5,1
E02000297,1,1765
E02000297,2,1208
E02000297,3,432
E02000297,4,66
E02000297,5,4
E02000298,1,1780
E02000298,2,967
E02000298,3,265
E02000298,4,40
E02000298,5,4
E02000299,1,1139
E02000299,2,1230
E02000299,3,709
E02000299,4,208
E02000299,5,28
E02000300,1,1020
E02000300,2,1145
E02000300,3,621
E02000300,4,179
E02000300,5,34
E02000304,1,1678
E02000304,2,921
E02000304,3,279
E02000304,4,30
E02000304,5,2
E02000306,1,854
